Computer,2023-12-15 00:03,107,Win
Computer,2023-12-15 00:05,105,Win
Player,2023-12-15 00:22,103,Win
Player,2023-12-15 00:22,103,Win
Computer,2023-12-15 00:24,111,Win
Player,2023-12-15 00:36,108,Win
Player,2023-12-15 00:36,102,Win
Player,2023-12-15 00:36,102,Win
Player,2023-12-15 00:41,100,Win
Player,2023-12-15 00:41,100,Win
Player 2,2023-12-15 01:15,108,Win
Computer,2023-12-15 01:24,108,Win
Player 1,2023-12-15 01:25,66,Win
Player 1,2023-12-15 01:41,25,Win
Computer,2023-12-15 02:13,110,Win
keegan,2023-12-15 11:59,36,Win
Player 1,2023-12-15 12:13,55,Win
Player 1,2023-12-15 12:16,94,Win
Player 1,2023-12-15 12:16,68,Win
Player 2,2023-12-15 13:01,108,Win
Player 1,2023-12-15 13:01,65,Win
